CENTNO,CENT_STATE,CENT_CITY,CENT_NAME
110101,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,KENDRIYA VIDYALAYA NO. 1
110102,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,DR B R AMBEDKAR INSTITUTE OF TECHNOLOGY
110103,ANDAMAN AND NICOBAR ISLANDS (UT),PORT BLAIR,GOVERNMENT MODEL SENIOR SECONDARY SCHOOL
120101,ANDHRA PRADESH,GUNTUR,LITTLE FLOWER ENGLISH MEDIUM SCHOOL
120102,ANDHRA PRADESH,GUNTUR,CHALAPATHI INSTITUTE OF TECHNOLOGY
120103,ANDHRA PRADESH,GUNTUR,R.V.R. & J.C. COLLEGE OF ENGINEERING
120104,ANDHRA PRADESH,GUNTUR,SRI VENKATESWARA BALAKUTEER
120105,ANDHRA PRADESH,GUNTUR,NATCO SCHOOL OF LEARNING PONNUR MANDAL GUNTUR AP
120106,ANDHRA PRADESH,GUNTUR,B.H.H. DEGREE COLLEGE FOR WOMEN
120107,ANDHRA PRADESH,GUNTUR,JAGARLAMUDI KUPPUSWAMY CHOUDARY COLLEGE
120108,ANDHRA PRADESH,GUNTUR,DR K L PRASAD PUBLIC SCHOOL
120201,ANDHRA PRADESH,KURNOOL,MONTESSORI HIGH SCHOOL
120202,ANDHRA PRADESH,KURNOOL,MONTESSORI INDUS SCHOOL
120203,ANDHRA PRADESH,KURNOOL,ST. JOSEPHS DEGREE COLLEGE
120204,ANDHRA PRADESH,KURNOOL,MOTHER THERESA INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
120205,ANDHRA PRADESH,KURNOOL,THE ATHENA SCHOOL
120206,ANDHRA PRADESH,KURNOOL,SRI LAKSHMI (E.M.) HIGH SCHOOL
120207,ANDHRA PRADESH,KURNOOL,K.V.R. GOVERNMENT COLLEGE FOR WOMEN (A) KURNOOL
120301,ANDHRA PRADESH,NELLORE,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY
120302,ANDHRA PRADESH,NELLORE,V.R. INSTITUTE OF POST GRADUATE STUDIES
120303,ANDHRA PRADESH,NELLORE,RSR INTERNATIONAL SCHOOL KAVALI NELLORE AP
120304,ANDHRA PRADESH,NELLORE,PADMAVATHI VIDYALAYA SULLURPETA NELLORE AP
120305,ANDHRA PRADESH,NELLORE,AKSHARA VIDYALAYA
120401,ANDHRA PRADESH,TIRUPATHI,SGS ARTS COLLEGE
120402,ANDHRA PRADESH,TIRUPATHI,GITAM SCHOOL
120403,ANDHRA PRADESH,TIRUPATHI,EDIFY SCHOOL
