City,count,mean,std,min,25%,50%,75%,max
110101,461.0,192.1127982646421,127.38432207207207,-5.0,100.0,157.0,260.0,680.0
110102,461.0,192.5943600867679,126.28503943663927,10.0,105.0,155.0,263.0,670.0
110103,103.0,196.1747572815534,123.14604968344128,11.0,105.0,147.0,264.0,648.0
120101,701.0,275.1255349500713,179.82897014713092,-3.0,116.0,238.0,419.0,700.0
120102,586.0,275.25085324232083,172.77560232843783,-5.0,120.25,247.0,404.75,676.0
120103,498.0,279.3815261044177,178.7546991688048,-15.0,122.25,240.5,425.0,715.0
120104,490.0,250.72040816326532,172.67398206340366,-10.0,106.5,206.0,383.75,700.0
120105,463.0,286.5291576673866,176.59388778852824,-10.0,125.5,262.0,430.0,715.0
120106,470.0,253.73617021276596,173.7379057170773,6.0,105.25,210.0,391.0,710.0
120107,423.0,270.5579196217494,177.96531912910274,-4.0,124.5,229.0,393.5,696.0
120108,302.0,238.40066225165563,168.88619415936006,-6.0,99.0,199.0,359.75,700.0
120201,1060.0,226.55094339622642,161.09541290072463,-17.0,94.0,178.5,343.25,660.0
120202,1058.0,227.40831758034025,158.78086744447327,-15.0,97.25,183.5,345.5,685.0
120203,708.0,225.81638418079095,160.9319838844289,-15.0,91.0,180.0,341.0,661.0
120204,702.0,217.72079772079772,154.88318397919744,-3.0,89.0,177.5,325.0,700.0
120205,586.0,223.919795221843,153.4909292142995,-8.0,95.25,184.5,333.75,672.0
120206,380.0,230.83684210526314,157.17789766715723,-6.0,95.0,196.0,352.0,672.0
120207,344.0,193.24709302325581,149.42029864613954,-20.0,79.75,130.0,283.75,651.0
120301,894.0,274.2684563758389,173.392955739817,-4.0,119.0,249.5,407.75,715.0
120302,885.0,272.51638418079096,171.57014123231545,-2.0,122.0,249.0,401.0,700.0
120303,753.0,286.2961487383798,163.3559248693946,-10.0,148.0,272.0,410.0,691.0
120304,229.0,274.3755458515284,173.20657101125536,14.0,128.0,246.0,426.0,720.0
120305,535.0,281.10280373831773,169.70051470899804,-20.0,135.0,270.0,405.0,687.0
120401,730.0,242.91643835616438,163.68851908267226,-40.0,105.0,204.0,371.5,696.0
120402,579.0,245.77029360967185,167.56180726648873,5.0,103.5,209.0,373.0,710.0
120403,586.0,231.27133105802048,161.24888581533455,2.0,96.25,184.0,350.0,686.0
120404,585.0,250.5008547008547,164.03974548438956,-2.0,108.0,218.0,373.0,669.0
