City,count,mean,std,min,25%,50%,75%,max
140226,333.0,108.54654654654655,101.7160370559286,-25.0,50.0,79.0,121.0,627.0
140501,343.0,119.72886297376094,97.87687372462864,-10.0,57.0,90.0,154.0,590.0
140611,249.0,103.5421686746988,100.44609787112663,-17.0,44.0,75.0,116.0,576.0
140612,327.0,85.94495412844037,87.40307531291066,-4.0,40.0,65.0,99.5,615.0
140613,310.0,80.95161290322581,66.8986160961333,-19.0,40.0,68.5,98.0,525.0
140703,190.0,107.21052631578948,94.89960105366517,-5.0,50.25,78.5,120.0,630.0
140810,225.0,80.85777777777778,76.65930684135375,-15.0,41.0,66.0,96.0,589.0
140904,296.0,89.58108108108108,82.52104105700792,-15.0,41.0,71.0,106.25,637.0
141304,289.0,104.2076124567474,82.29675181023826,-9.0,50.0,84.0,122.0,420.0
153407,470.0,98.52127659574468,103.10568911767574,-18.0,44.0,71.0,107.0,673.0
153408,346.0,91.86127167630057,92.455791880721,-20.0,41.0,68.0,102.75,654.0
170407,310.0,116.78064516129032,102.01140687329287,-11.0,50.25,84.5,149.75,646.0
170408,320.0,128.753125,107.9918361142163,-6.0,55.75,92.0,164.0,549.0
170409,330.0,124.08181818181818,101.67181231381964,1.0,54.25,90.0,161.75,615.0
170410,200.0,119.565,106.88478639551127,-9.0,55.0,84.5,139.0,603.0
170501,185.0,139.8864864864865,106.03297826353815,-8.0,70.0,111.0,186.0,631.0
170502,206.0,98.1116504854369,73.15791246534444,0.0,54.25,81.0,112.5,417.0
170601,180.0,104.11111111111111,93.16153382288955,-15.0,47.0,78.5,127.5,510.0
170702,349.0,73.40687679083095,67.34753371431981,-11.0,35.0,57.0,89.0,461.0
170903,459.0,92.49455337690632,81.57479404001748,-36.0,41.5,70.0,108.5,423.0
171102,381.0,87.50656167979002,71.76220295267228,-22.0,47.0,71.0,102.0,598.0
171103,374.0,88.79946524064171,76.4543698551924,-44.0,45.0,70.0,102.0,476.0
171202,294.0,86.42857142857143,87.44597552095972,-26.0,40.0,65.0,96.0,667.0
171303,762.0,129.8464566929134,107.82741012876228,-16.0,60.0,95.0,159.75,671.0
171501,186.0,76.94086021505376,59.87799981594853,-5.0,43.0,61.0,90.25,393.0
